unit,yr,quarter,cum_tests_orig,new_tests_orig,new_cases_orig,new_deaths_orig
BHR,2020,4,175042242,897412,21811,101
BHR,2021,1,262323512,1237037,51770,169
BHR,2021,2,395004403,1462523,121382,831
BHR,2021,3,523866441,1401023,9230,37
BHR,2021,4,660002440,1578211,7005,5
BHR,2022,1,810284111,1597652,272407,77
BHR,2022,2,125233246,53923,6596,2
BHS,2020,1,0,0,14,0
BHS,2020,2,103092,2404,90,11
BHS,2020,3,785858,17857,4019,85
BHS,2020,4,3224867,28851,3748,74
BHS,2021,1,4879462,12089,1248,18
BHS,2021,2,5615568,46277,3467,58
BHS,2021,3,11644883,32484,8398,285
BHS,2021,4,14943520,37181,3540,186
BHS,2022,1,18179438,50707,8807,71
BHS,2022,2,2974249,1350,83,1
BIH,2020,1,7762,1056,420,13
BIH,2020,2,2472283,54310,4033,173
BIH,2020,3,9574596,102786,23016,670
BIH,2020,4,22619946,176422,83516,3205
BIH,2021,1,38896996,210982,58641,2549
BIH,2021,2,59091549,172579,35396,3066
BIH,2021,3,71777126,143862,29753,952
BIH,2021,4,87590459,186467,56538,2836
BIH,2022,1,105381481,188938,84127,2271
BIH,2022,2,16146452,8369,824,29
BLR,2020,1,386000,30000,152,1
BLR,2020,2,36134635,970785,61966,391
BLR,2020,3,130472065,840919,16513,441
BLR,2020,4,247716948,1783916,115653,591
BLR,2021,1,418401486,1742792,127523,823
BLR,2021,2,554235246,1427082,95382,896
BLR,2021,3,695072076,1703836,120897,1000
BLR,2021,4,915140742,2522919,161024,1435
BLR,2022,1,1084117107,1833383,263597,1241
BLR,2022,2,168057442,131543,8043,63
BLZ,2020,1,91,13,3,0
BLZ,2020,2,102641,2268,21,2
BLZ,2020,3,607776,12683,1968,25
BLZ,2020,4,2808786,33900,8784,221
BLZ,2021,1,6845651,50627,1680,70
BLZ,2021,2,11337212,54257,795,12
BLZ,2021,3,18447521,105592,7550,85
BLZ,2021,4,29597139,104575,12039,191
BLZ,2022,1,41565687,156305,24440,52
BLZ,2022,2,6800939,4231,38,18
BMU,2020,2,355188,11298,0,0
BMU,2020,3,3131639,52760,0,0
BMU,2020,4,9037345,73490,0,0
BMU,2021,1,15184343,60440,0,0
BMU,2021,2,23365802,122666,0,0
BMU,2021,3,38949489,220653,0,0
BMU,2021,4,56955630,157721,0,0
BMU,2022,1,69717716,138386,0,0
BMU,2022,2,10987724,11078,0,0
BOL,2020,1,4837,814,107,6
BOL,2020,2,1985053,78436,33112,1117
BOL,2020,3,18567237,222640,102092,6842
BOL,2020,4,31854380,75065,24813,1200
