unit,yr,quarter,pop,cap_new_cases,cap_new_deaths,cap_new_tests
ARM,2020,4,2963,0.39894936094565217391304347826086956522,0.00670956286956521739130434782608695652,1.12371054601086956521739130434782608696
ARM,2021,1,2963,0.12007349908888888888888888888888888889,0.00257246781111111111111111111111111111,0.93391457612222222222222222222222222222
ARM,2021,2,2963,0.12872682501098901098901098901098901099,0.00387933186813186813186813186813186813,1.24700240698901098901098901098901098901
ARM,2021,3,2963,0.12592261071739130434782608695652173913,0.00276966698913043478260869565217391304,1.96279475856521739130434782608695652174
ARM,2021,4,2963,0.31372067090217391304347826086956521739,0.00988275685869565217391304347826086957,2.78604234881521739130434782608695652174
ARM,2022,1,2963,0.29183635207777777777777777777777777778,0.00246741513333333333333333333333333333,1.87414032335555555555555555555555555556
ARM,2022,2,2963,0.00521820415384615384615384615384615385,0.00023330769230769230769230769230769231,0.76647888069230769230769230769230769231
ATA,2020,1,0,0,0,0
ATA,2020,2,0,0,0,0
ATA,2020,3,0,0,0,0
ATA,2020,4,0,0,0,0
ATA,2021,1,0,0,0,0
ATA,2021,2,0,0,0,0
ATA,2021,3,0,0,0,0
ATA,2021,4,0,0,0,0
ATA,2022,1,0,0,0,0
ATA,2022,2,0,0,0,0
ATG,2020,1,98,0.0008746356,0,0
ATG,2020,2,98,0.00605516938461538461538461538461538462,0,0.18703745262637362637362637362637362637
ATG,2020,3,98,0.00377107373913043478260869565217391304,0,0.204081633
ATG,2020,4,98,0.00610026641304347826086956521739130435,0,0.2891526178260869565217391304347826087
ATG,2021,1,98,0.10986394554444444444444444444444444444,0.00238095246666666666666666666666666667,0.9300453516
ATG,2021,2,98,0.01569858718681318681318681318681318681,0.00078492938461538461538461538461538462,0.27068849556043956043956043956043956044
ATG,2021,3,98,0.19409937891304347826086956521739130435,0.00221827865217391304347826086956521739,0
ATG,2021,4,98,0.13742236033695652173913043478260869565,0.00454747127173913043478260869565217391,0
ATG,2022,1,98,0.36632653058888888888888888888888888889,0.00170068033333333333333333333333333333,0
ATG,2022,2,98,0.02276295138461538461538461538461538462,0,0
AUS,2020,1,25500,0.00198709901428571428571428571428571429,0.0000056,0.11600560224285714285714285714285714286
AUS,2020,2,25500,0.00179226656043956043956043956043956044,0.00003708571428571428571428571428571429,0.91264253393406593406593406593406593407
AUS,2020,3,25500,0.00824423080434782608695652173913043478,0.00032862391304347826086956521739130435,2.22195524296739130434782608695652173913
AUS,2020,4,25500,0.00056090686956521739130434782608695652,0.00001237391304347826086956521739130435,1.57287212276086956521739130434782608696
AUS,2021,1,25500,0.00040083333333333333333333333333333333,0,1.8238034858
AUS,2021,2,25500,0.00054257013186813186813186813186813187,0,2.10066968326373626373626373626373626374
AUS,2021,3,25500,0.03011807326086956521739130434782608696,0.00015136739130434782608695652173913043,7.21184356347826086956521739130434782609
AUS,2021,4,25500,0.10637766408695652173913043478260869565,0.00040503260869565217391304347826086957,7.21458951416304347826086956521739130435
AUS,2022,1,25500,1.80120348583333333333333333333333333333,0.00162134424444444444444444444444444444,5.22863529415555555555555555555555555556
